Spielstätte,Ort,Titel,Anzahl,Komponist,Komponist_ber,Geburtsort,Geschlecht,Geburtsdatum,Geburtsjahr,Alter,Sterbedatum,Verstorben,Art,Bemerkung
"Musiktheater im Revier, Gelsenkirchen",Gelsenkirchen,Sommernachtstraum,6,Felix Mendelssohn Bartholdy,Felix Mendelssohn Bartholdy,Hamburg,männlich,1809-02-03 00:00:00+00:00,1809,210,1847,Tot,premieren,
Deutsche Oper am Rhein,Düsseldorf/Duisburg,Don Pasquale,6,Gaetano Donizetti,Gaetano Donizetti,Bergamo,männlich,1797-11-29 00:00:00+00:00,1797,222,1848,Tot,wiederaufnahmen,
Deutsche Oper am Rhein,Düsseldorf/Duisburg,Maria Stuarda,6,Gaetano Donizetti,Gaetano Donizetti,Bergamo,männlich,1797-11-29 00:00:00+00:00,1797,222,1848,Tot,premieren,
"Oper, Ballett und Junge Oper Dortmund",Dortmund,Il barbiere di Siviglia,5,Gioachino Rossini,Gioachino Rossini,Pesaro,männlich,1792-02-29 00:00:00+00:00,1792,227,1868,Tot,premieren,
Theater Hagen,Hagen,Il Turco in Italia,13,Gioachino Rossini,Gioachino Rossini,Pesaro,männlich,1792-02-29 00:00:00+00:00,1792,227,1868,Tot,premieren,
Deutsche Oper am Rhein,Düsseldorf/Duisburg,La Cenerentola,10,Gioachino Rossini,Gioachino Rossini,Pesaro,männlich,1792-02-29 00:00:00+00:00,1792,227,1868,Tot,wiederaufnahmen,
Theater und Philharmoie Essen,Essen,Der Freischütz,10,Carl Maria von Weber,Carl Maria von Weber,Eutin,männlich,1786-11-18 00:00:00+00:00,1786,233,1826,Tot,premieren,
Oper Köln,Köln,Fidelio,4,Ludwig van Beethoven,Ludwig van Beethoven,Bonn,männlich,1770-12-16 00:00:00+00:00,1770,249,1827,Tot,wiederaufnahmen,
Theater und Philharmoie Essen,Essen,Cosi fan tutte,7,Wolfgang Amadeus Mozart,Wolfgang Amadeus Mozart,Salzburg,männlich,1756-01-27 00:00:00+00:00,1756,263,1791,Tot,premieren,
Theater Aachen,Aachen,Cosi fan tutte,7,Wolfgang Amadeus Mozart,Wolfgang Amadeus Mozart,Salzburg,männlich,1756-01-27 00:00:00+00:00,1756,263,1791,Tot,premieren,
Deutsche Oper am Rhein,Düsseldorf/Duisburg,Die Entführung aus dem Serail,5,Wolfgang Amadeus Mozart,Wolfgang Amadeus Mozart,Salzburg,männlich,1756-01-27 00:00:00+00:00,1756,263,1791,Tot,wiederaufnahmen,
Wuppertaler Bühnen,Wuppertal,Die Hochzeit des Figaro,7,Wolfgang Amadeus Mozart,Wolfgang Amadeus Mozart,Salzburg,männlich,1756-01-27 00:00:00+00:00,1756,263,1791,Tot,premieren,
Oper Köln,Köln,Die Zauberflöte,15,Wolfgang Amadeus Mozart,Wolfgang Amadeus Mozart,Salzburg,männlich,1756-01-27 00:00:00+00:00,1756,263,1791,Tot,premieren,Für Kinder
Deutsche Oper am Rhein,Düsseldorf/Duisburg,Die Zauberflöte,21,Wolfgang Amadeus Mozart,Wolfgang Amadeus Mozart,Salzburg,männlich,1756-01-27 00:00:00+00:00,1756,263,1791,Tot,sonstiges,für Kinder - Premiere oder Wiederaufnahme?
Theater Bielefeld,Bielefeld,Die Zauberflöte,4,Wolfgang Amadeus Mozart,Wolfgang Amadeus Mozart,Salzburg,männlich,1756-01-27 00:00:00+00:00,1756,263,1791,Tot,wiederaufnahmen,
Theater/Oper/Schauspiel Bonn,Bonn,Die Zauberflöte,6,Wolfgang Amadeus Mozart,Wolfgang Amadeus Mozart,Salzburg,männlich,1756-01-27 00:00:00+00:00,1756,263,1791,Tot,wiederaufnahmen,
Deutsche Oper am Rhein,Düsseldorf/Duisburg,Die Zauberflöte,13,Wolfgang Amadeus Mozart,Wolfgang Amadeus Mozart,Salzburg,männlich,1756-01-27 00:00:00+00:00,1756,263,1791,Tot,wiederaufnahmen,
Theater und Philharmoie Essen,Essen,Die Zauberflöte,5,Wolfgang Amadeus Mozart,Wolfgang Amadeus Mozart,Salzburg,männlich,1756-01-27 00:00:00+00:00,1756,263,1791,Tot,wiederaufnahmen,
Theater Krefeld Mönchengladbach,Krefeld/Mönchengladbach,Die Zauberflöte,12,Wolfgang Amadeus Mozart,Wolfgang Amadeus Mozart,Salzburg,männlich,1756-01-27 00:00:00+00:00,1756,263,1791,Tot,premieren,
Theater/Oper/Schauspiel Bonn,Bonn,Don Giovanni,6,Wolfgang Amadeus Mozart,Wolfgang Amadeus Mozart,Salzburg,männlich,1756-01-27 00:00:00+00:00,1756,263,1791,Tot,wiederaufnahmen,
Deutsche Oper am Rhein,Düsseldorf/Duisburg,Don Giovanni,4,Wolfgang Amadeus Mozart,Wolfgang Amadeus Mozart,Salzburg,männlich,1756-01-27 00:00:00+00:00,1756,263,1791,Tot,wiederaufnahmen,
Theater und Philharmoie Essen,Essen,Don Giovanni,2,Wolfgang Amadeus Mozart,Wolfgang Amadeus Mozart,Salzburg,männlich,1756-01-27 00:00:00+00:00,1756,263,1791,Tot,wiederaufnahmen,
Deutsche Oper am Rhein,Düsseldorf/Duisburg,Le nozze di Figaro,4,Wolfgang Amadeus Mozart,Wolfgang Amadeus Mozart,Salzburg,männlich,1756-01-27 00:00:00+00:00,1756,263,1791,Tot,wiederaufnahmen,
Oper Köln,Köln,La scuola de’ gelosi,5,Antonio Salieri,Antonio Salieri,Legnago,männlich,1750-08-18 00:00:00+00:00,1750,269,1825,Tot,premieren,
Theater Bielefeld,Bielefeld,Amadis,6,Johann Christian Bach,Johann Christian Bach,Leipzig,männlich,1735-09-05 00:00:00+00:00,1735,284,1782,Tot,premieren,
Theater Aachen,Aachen,Il trionfo del Tempo e del Disinganno,9,Georg Friedrich Händel,Georg Friedrich Händel,Halle (Saale),männlich,1685-03-05 00:00:00+00:00,1685,334,1759,Tot,premieren,
Theater/Oper/Schauspiel Bonn,Bonn,Xerxes,13,Georg Friedrich Händel,Georg Friedrich Händel,Halle (Saale),männlich,1685-03-05 00:00:00+00:00,1685,334,1759,Tot,premieren,
Deutsche Oper am Rhein,Düsseldorf/Duisburg,Xerxes,6,Georg Friedrich Händel,Georg Friedrich Händel,Halle (Saale),männlich,1685-03-05 00:00:00+00:00,1685,334,1759,Tot,wiederaufnahmen,
Theater Hagen,Hagen,Wassermusik und Dido and Aeneas,10,Henry Purcell,Henry Purcell,Westminster,männlich,,1659,360,1695,Tot,premieren,
Theater Hagen,Hagen,Combattimento di Trancredi e Clorinda,4,Claudio Monteverdi,Claudio Monteverdi,Cremona,männlich,,1567,452,1643,Tot,premieren,
Theater Herford,Herford,Paul Abraham - Operettenkönig von Berlin,1,Paul Abraham,Paul Abraham,Apatin,männlich,,1892,127,1960,Tot,sonstiges,
